repo_name,watch,fork,star
SwifterSwift/SwifterSwift,239,1032,8228
IS-ENES-Data/esgf-pid,6,5,1
ubuntu/ubuntu-make,68,143,988
esprange/kleistad,0,0,0
Physwf/physwf-x-lab,1,0,0
phpMussel/phpMussel,32,77,305
chrys87/fenrir,9,6,17
joesgordon/soh,1,0,0
geraldbaeck/NIUsLittleHelper,9,7,5
MusikAnimal/pageviews,15,28,69
hamlet-io/engine,3,5,4
masneyb/gftp,2,3,2
openxc/openxc-android,69,113,202
adaltas/node-nikita,12,13,47
MichaCo/DnsClient.NET,16,67,273
JPGlaser/Tycho,4,1,1
students-alumni-cell-iitkgp/sac,4,16,5
fujiwarat/ibus-anthy,4,5,19
censusreporter/censusreporter,43,120,473
NikolayIT/ASP.NET-MVC-Template,40,87,363
viper-framework/har2tree,1,5,2
maxtoroq/XCST-a,1,0,3
bk138/multivnc,8,23,71
nathanhollows/ti.mba,1,0,0
bvaughn/react-virtualized,257,2281,18555
OpenHumans/open-humans,14,22,45
shadowsocks/shadowsocks-windows,2594,15517,48506
swaywm/sway,256,578,7293
achamely/omniwallet,2,0,0
OmniLayer/omniwallet,57,170,275
bazelbuild/rules_docker,56,312,539
gdi-by/downloadclient,6,6,8
Dance-Marathon/DM-Website,10,1,2
torrentelinux/torrentarium,1,0,0
googleapis/api-linter,6,28,102
frkasper/MacroUtils,10,5,23
marcelotto/rdf-ex,6,2,51
huoshan12345/FclEx,0,1,3
codeforamerica/ohana-api,43,170,165
thredded/thredded,28,184,1187
ariya/phantomjs,1177,5762,27437
blue-yonder/turbodbc,34,48,385
dondi/GRNsight,6,8,12
auth0/Lock.Android,50,63,117
square/certigo,43,40,498
hazelgrove/hazel,11,17,241
Gallery-of-Kaeon/Kaeon-FUSION,1,0,12
runescapejon/AdventureBackpack2,9,9,16
mlomb/OrbitEngine,2,1,12
innovad/4mila,1,0,2
loouislow81/loouislow81.github.io,0,0,0
open-eid/DigiDoc4-Client,19,16,50
trflynn89/libfly,1,0,0
dbahat/conventions,2,1,2
coreinfrastructure/best-practices-badge,56,132,836
mendhak/gpslogger,119,493,1157
ng-lightning/ng-lightning,37,110,815
